monitoringlocationidentifier,monitoringlocationname,latitudemeasure,longitudemeasure,activitystartdate,characteristicname,result_value,units,mcl_value,mcl_units,result_mg_l,exceedance_flag,is_proxy_unit
USGS-380433121341501,SAN JOAQUIN R A WEBB TRACT NR TERMINOUS CA,38.0757,-121.5708889,27/07/2023,Nitrate,0.096,mg/L as N,10,mg/l,0.096,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,17/07/2023,Nitrate,0.174,mg/L as NO3,10,mg/l,0.039304269,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,17/07/2023,Nitrate,0.039,mg/L as N,10,mg/l,0.039,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,08/08/2023,Nitrate,2.13,mg/L as NO3,10,mg/l,0.481138468,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,08/08/2023,Nitrate,0.482,mg/L as N,10,mg/l,0.482,0,
USGS-380325121322701,MANDEVILLE CUT NR TERMINOUS CA,38.056975,-121.5407694,27/07/2023,Nitrate,0.402,mg/L as NO3,10,mg/l,0.090806415,0,
USGS-380325121322701,MANDEVILLE CUT NR TERMINOUS CA,38.056975,-121.5407694,27/07/2023,Nitrate,0.091,mg/L as N,10,mg/l,0.091,0,
USGS-11313460,SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA,38.05944444,-121.5572222,19/07/2023,Nitrate,0.471,mg/L as NO3,10,mg/l,0.106392591,0,
USGS-11313460,SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA,38.05944444,-121.5572222,19/07/2023,Nitrate,0.106,mg/L as N,10,mg/l,0.106,0,
USGS-380831121301301,S MOKELUMNE R A SYCAMORE SLOUGH NR TERMINOUS CA,38.1419611,-121.5036889,18/07/2023,Nitrate,0.017,mg/L as NO3,10,mg/l,0.003840072,0,
USGS-380831121301301,S MOKELUMNE R A SYCAMORE SLOUGH NR TERMINOUS CA,38.1419611,-121.5036889,18/07/2023,Nitrate,0.004,mg/L as N,10,mg/l,0.004,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,23/08/2023,Nitrate,1.21,mg/L as NO3,10,mg/l,0.273322792,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,23/08/2023,Nitrate,0.273,mg/L as N,10,mg/l,0.273,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,20/07/2023,Nitrate,0.407,mg/L as NO3,10,mg/l,0.091935848,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,20/07/2023,Nitrate,0.092,mg/L as N,10,mg/l,0.092,0,
USGS-11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428,18/07/2023,Nitrate,0.26,mg/L as NO3,10,mg/l,0.058730517,0,
USGS-11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428,18/07/2023,Nitrate,0.059,mg/L as N,10,mg/l,0.059,0,
USGS-380227121364301,FRANKS TRACT SITE 1.4 NR BETHEL ISLAND CA,38.0408333,-121.6119444,27/07/2023,Nitrate,0.14,mg/L as NO3,10,mg/l,0.031624125,0,
USGS-380227121364301,FRANKS TRACT SITE 1.4 NR BETHEL ISLAND CA,38.0408333,-121.6119444,27/07/2023,Nitrate,0.032,mg/L as N,10,mg/l,0.032,0,
USGS-375944121310401,MILDRED ISLAND SITE 1.1 NR ORWOOD CA,37.99555556,-121.5177778,27/07/2023,Nitrate,0.106,mg/L as N,10,mg/l,0.106,0,
USGS-375950121311701,MILDRED ISLAND SITE 2.1 NR ORWOOD CA,37.9972222,-121.5213889,27/07/2023,Nitrate,0.415,mg/L as NO3,10,mg/l,0.093742941,0,
USGS-375944121310401,MILDRED ISLAND SITE 1.1 NR ORWOOD CA,37.99555556,-121.5177778,27/07/2023,Nitrate,0.468,mg/L as NO3,10,mg/l,0.105714931,0,
USGS-375950121311701,MILDRED ISLAND SITE 2.1 NR ORWOOD CA,37.9972222,-121.5213889,27/07/2023,Nitrate,0.094,mg/L as N,10,mg/l,0.094,0,
USGS-380124121312501,MIDDLE R A COULUMBIA CUT NR TERMINOUS CA,38.0169111,-121.5184778,27/07/2023,Nitrate,0.434,mg/L as NO3,10,mg/l,0.098034787,0,
USGS-380124121312501,MIDDLE R A COULUMBIA CUT NR TERMINOUS CA,38.0169111,-121.5184778,27/07/2023,Nitrate,0.098,mg/L as N,10,mg/l,0.098,0,
USGS-11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,38.25769218,-121.5182865,20/07/2023,Nitrate,0.286,mg/L as NO3,10,mg/l,0.064603569,0,
USGS-11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,38.25769218,-121.5182865,20/07/2023,Nitrate,0.065,mg/L as N,10,mg/l,0.065,0,
USGS-11313440,FALSE R NR OAKLEY CA,38.0558333,-121.6669444,27/07/2023,Nitrate,0.38,mg/L as NO3,10,mg/l,0.08583691,0,
USGS-11313440,FALSE R NR OAKLEY CA,38.0558333,-121.6669444,27/07/2023,Nitrate,0.086,mg/L as N,10,mg/l,0.086,0,
USGS-380217121290301,DISAPPOINTMENT SLOUGH NR TERMINOUS CA,38.03818056,-121.48415,19/07/2023,Nitrate,0.146,mg/L as NO3,10,mg/l,0.032979444,0,
USGS-380217121290301,DISAPPOINTMENT SLOUGH NR TERMINOUS CA,38.03818056,-121.48415,19/07/2023,Nitrate,0.033,mg/L as N,10,mg/l,0.033,0,
USGS-380131121280501,SAN JOAQUIN R A TINSLEY ISLAND NR TERMINOUS CA,38.03908889,-121.4927778,19/07/2023,Nitrate,0.525,mg/L as NO3,10,mg/l,0.118590468,0,
USGS-380131121280501,SAN JOAQUIN R A TINSLEY ISLAND NR TERMINOUS CA,38.03908889,-121.4927778,19/07/2023,Nitrate,0.119,mg/L as N,10,mg/l,0.119,0,
USGS-380504121405601,SAN JOAQUIN R BL THREEMILE SLOUGH NR RIO VISTA CA,38.08456389,-121.6823306,18/07/2023,Nitrate,0.458,mg/L as NO3,10,mg/l,0.103456065,0,
USGS-380504121405601,SAN JOAQUIN R BL THREEMILE SLOUGH NR RIO VISTA CA,38.08456389,-121.6823306,18/07/2023,Nitrate,0.104,mg/L as N,10,mg/l,0.104,0,
USGS-375826121314201,MILDRED ISLAND SITE 2.4 NR ORWOOD CA,37.97388889,-121.5283333,27/07/2023,Nitrate,0.484,mg/L as NO3,10,mg/l,0.109329117,0,
USGS-375826121314201,MILDRED ISLAND SITE 2.4 NR ORWOOD CA,37.97388889,-121.5283333,27/07/2023,Nitrate,0.109,mg/L as N,10,mg/l,0.109,0,
USGS-11455420,SACRAMENTO R A RIO VISTA CA,38.14904444,-121.6889444,20/07/2023,Nitrate,0.479,mg/L as NO3,10,mg/l,0.108199684,0,
USGS-11455420,SACRAMENTO R A RIO VISTA CA,38.14904444,-121.6889444,20/07/2023,Nitrate,0.108,mg/L as N,10,mg/l,0.108,0,
USGS-380837121333401,N MOKELUMNE R A TYLER ISLAND RD NR ISELTON CA,38.14366944,-121.5595389,18/07/2023,Nitrate,0.302,mg/L as NO3,10,mg/l,0.068217755,0,
USGS-380837121333401,N MOKELUMNE R A TYLER ISLAND RD NR ISELTON CA,38.14366944,-121.5595389,18/07/2023,Nitrate,0.068,mg/L as N,10,mg/l,0.068,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,25/07/2023,Nitrate,0.288,mg/L as NO3,10,mg/l,0.065055342,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,25/07/2023,Nitrate,0.065,mg/L as N,10,mg/l,0.065,0,
USGS-380548121390501,TWITCHELL ISLAND DR A PUMP STATION NR RIO VISTA CA,38.09661389,-121.6512444,03/08/2023,Nitrate,0.047,mg/L as NO3,10,mg/l,0.01061667,0,
USGS-380548121390501,TWITCHELL ISLAND DR A PUMP STATION NR RIO VISTA CA,38.09661389,-121.6512444,03/08/2023,Nitrate,0.011,mg/L as N,10,mg/l,0.011,0,
USGS-380232121241801,FOURTEENMILE SLOUGH NR TERMINOUS CA,38.04221944,-121.405,19/07/2023,Nitrate,0.17,mg/L as NO3,10,mg/l,0.038400723,0,
USGS-380232121241801,FOURTEENMILE SLOUGH NR TERMINOUS CA,38.04221944,-121.405,19/07/2023,Nitrate,0.038,mg/L as N,10,mg/l,0.038,0,
USGS-380640121405701,THREEMILE SLOUGH A TWITCHELL ISLAND NR RIO VISTA,38.1111,-121.682561,18/07/2023,Nitrate,0.428,mg/L as NO3,10,mg/l,0.096679467,0,
USGS-380640121405701,THREEMILE SLOUGH A TWITCHELL ISLAND NR RIO VISTA,38.1111,-121.682561,18/07/2023,Nitrate,0.097,mg/L as N,10,mg/l,0.097,0,
USGS-11312685,MIDDLE R NR HOLT CA,38.00305556,-121.5108333,18/07/2023,Nitrate,0.448,mg/L as NO3,10,mg/l,0.101197199,0,
USGS-11312685,MIDDLE R NR HOLT CA,38.00305556,-121.5108333,18/07/2023,Nitrate,0.101,mg/L as N,10,mg/l,0.101,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,17/07/2023,Nitrate,0.203,mg/L as NO3,10,mg/l,0.045854981,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,17/07/2023,Nitrate,0.046,mg/L as N,10,mg/l,0.046,0,
USGS-11455485,SACRAMENTO R BL TOLAND LANDING NR RIO VISTA CA,38.0778083,-121.767286,19/07/2023,Nitrate,0.508,mg/L as NO3,10,mg/l,0.114750395,0,
USGS-11455485,SACRAMENTO R BL TOLAND LANDING NR RIO VISTA CA,38.0778083,-121.767286,19/07/2023,Nitrate,0.115,mg/L as N,10,mg/l,0.115,0,
USGS-375916121313301,MILDRED ISLAND SITE 2.5 NR ORWOOD CA,37.98777778,-121.5258333,27/07/2023,Nitrate,0.468,mg/L as NO3,10,mg/l,0.105714931,0,
USGS-375916121313301,MILDRED ISLAND SITE 2.5 NR ORWOOD CA,37.98777778,-121.5258333,27/07/2023,Nitrate,0.106,mg/L as N,10,mg/l,0.106,0,
USGS-375709121190301,PORT OF STOCKTON NR STOCKTON CA,37.9524,-121.3175,19/07/2023,Nitrate,1.23,mg/L as NO3,10,mg/l,0.277840524,0,
USGS-375709121190301,PORT OF STOCKTON NR STOCKTON CA,37.9524,-121.3175,19/07/2023,Nitrate,0.278,mg/L as N,10,mg/l,0.278,0,
USGS-384857121054301,NF AMERICAN R NR PILOT HILL CA,38.8158333,-121.0952778,07/08/2023,Nitrate,0.005,mg/L as NO3,10,mg/l,0.001129433,0,
USGS-384857121054301,NF AMERICAN R NR PILOT HILL CA,38.8158333,-121.0952778,07/08/2023,Nitrate,0.001,mg/L as N,10,mg/l,0.001,0,
USGS-381330121332401,DELTA RMP SACR-028,38.22488056,-121.556725,17/07/2023,Nitrate,0.319,mg/L as NO3,10,mg/l,0.072057827,0,
USGS-381330121332401,DELTA RMP SACR-028,38.22488056,-121.556725,17/07/2023,Nitrate,0.072,mg/L as N,10,mg/l,0.072,0,
USGS-381459120501601,PARDEE RESERVOIR SOUTH ARM A CAMP PARDEE CA,38.24980278,-120.837711,08/08/2023,Nitrate,0.005,mg/L as NO3,10,mg/l,0.001129433,0,
USGS-381459120501601,PARDEE RESERVOIR SOUTH ARM A CAMP PARDEE CA,38.24980278,-120.837711,08/08/2023,Nitrate,0.001,mg/L as N,10,mg/l,0.001,0,
USGS-11312674,MIDDLE R A BORDEN HWY NR TRACY CA,37.89159208,-121.4899492,18/07/2023,Nitrate,0.806,mg/L as NO3,10,mg/l,0.182064604,0,
USGS-11312674,MIDDLE R A BORDEN HWY NR TRACY CA,37.89159208,-121.4899492,18/07/2023,Nitrate,0.182,mg/L as N,10,mg/l,0.182,0,
USGS-11447540,SACRAMENTO R A PIER A WEST SACRAMENTO CA,38.56831667,-121.5205694,20/07/2023,Nitrate,0.286,mg/L as NO3,10,mg/l,0.064603569,0,
USGS-11447540,SACRAMENTO R A PIER A WEST SACRAMENTO CA,38.56831667,-121.5205694,20/07/2023,Nitrate,0.065,mg/L as N,10,mg/l,0.065,0,
USGS-382010121402301,LIBERTY ISLAND A UPPER STAIR STEP NR FIVE POINTS C,38.33616667,-121.672925,17/07/2023,Nitrate,0.023,mg/L as NO3,10,mg/l,0.005195392,0,
USGS-380749121344701,GEORGIANA SLOUGH A TYLER ISLAND RD NR ISLETON CA,38.13028056,-121.5797,17/07/2023,Nitrate,0.51,mg/L as NO3,10,mg/l,0.115202169,0,
USGS-380247121353501,FRANKS TRACT SITE 1.2 NR BETHEL ISLAND CA,38.04638889,-121.5930556,27/07/2023,Nitrate,0.056,mg/L as NO3,10,mg/l,0.01264965,0,
USGS-380749121344701,GEORGIANA SLOUGH A TYLER ISLAND RD NR ISLETON CA,38.13028056,-121.5797,17/07/2023,Nitrate,0.115,mg/L as N,10,mg/l,0.115,0,
USGS-382010121402301,LIBERTY ISLAND A UPPER STAIR STEP NR FIVE POINTS C,38.33616667,-121.672925,17/07/2023,Nitrate,0.005,mg/L as N,10,mg/l,0.005,0,
USGS-380247121353501,FRANKS TRACT SITE 1.2 NR BETHEL ISLAND CA,38.04638889,-121.5930556,27/07/2023,Nitrate,0.013,mg/L as N,10,mg/l,0.013,0,
USGS-11336685,N MOKELUMNE NR WALNUT GROVE CA,38.2233333,-121.5072222,18/07/2023,Nitrate,0.515,mg/L as NO3,10,mg/l,0.116331602,0,
USGS-11336685,N MOKELUMNE NR WALNUT GROVE CA,38.2233333,-121.5072222,18/07/2023,Nitrate,0.116,mg/L as N,10,mg/l,0.116,0,
USGS-11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111,18/07/2023,Nitrate,0.248,mg/L as NO3,10,mg/l,0.056019878,0,
USGS-11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111,18/07/2023,Nitrate,0.056,mg/L as N,10,mg/l,0.056,0,
USGS-375649121202101,SAN JOAQUIN R NR STOCKTON CA,37.94686848,-121.3402249,19/07/2023,Nitrate,1.27,mg/L as NO3,10,mg/l,0.286875988,0,
USGS-380931121410501,SACRAMENTO R BL HWY 12 BRIDGE NR RIO VISTA CA,38.15856389,-121.6846194,17/07/2023,Nitrate,0.676,mg/L as NO3,10,mg/l,0.152699345,0,
USGS-380931121410501,SACRAMENTO R BL HWY 12 BRIDGE NR RIO VISTA CA,38.15856389,-121.6846194,17/07/2023,Nitrate,0.153,mg/L as N,10,mg/l,0.153,0,
USGS-381638120491501,NF MOKELUMNE A MCAFEE GULCH R NR PALOMA CA,38.27710278,-120.8208,08/08/2023,Nitrate,0.004,mg/L as NO3,10,mg/l,0.000903546,0,
USGS-381638120491501,NF MOKELUMNE A MCAFEE GULCH R NR PALOMA CA,38.27710278,-120.8208,08/08/2023,Nitrate,0.001,mg/L as N,10,mg/l,0.001,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,12/07/2023,Nitrate,0.902,mg/L as NO3,10,mg/l,0.203749718,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,12/07/2023,Nitrate,0.204,mg/L as N,10,mg/l,0.204,0,
USGS-381540121445301,DELTA RMP YOLO-003,38.26105,-121.748,17/07/2023,Nitrate,0.071,mg/L as NO3,10,mg/l,0.016037949,0,
USGS-375649121202101,SAN JOAQUIN R NR STOCKTON CA,37.94686848,-121.3402249,19/07/2023,Nitrate,0.287,mg/L as N,10,mg/l,0.287,0,
USGS-381540121445301,DELTA RMP YOLO-003,38.26105,-121.748,17/07/2023,Nitrate,0.016,mg/L as N,10,mg/l,0.016,0,
USGS-11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174,18/07/2023,Nitrate,0.163,mg/L as NO3,10,mg/l,0.036819517,0,
USGS-11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174,18/07/2023,Nitrate,0.037,mg/L as N,10,mg/l,0.037,0,
USGS-380035121324801,DELTA RMP CENT-025,38.00963056,-121.5467806,27/07/2023,Nitrate,0.253,mg/L as NO3,10,mg/l,0.057149311,0,
USGS-380035121324801,DELTA RMP CENT-025,38.00963056,-121.5467806,27/07/2023,Nitrate,0.057,mg/L as N,10,mg/l,0.057,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,26/07/2023,Nitrate,10.6,mg/L as NO3,10,mg/l,2.394398012,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,26/07/2023,Nitrate,2.39,mg/L as N,10,mg/l,2.39,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,27/07/2023,Nitrate,1.75,mg/L as NO3,10,mg/l,0.395301559,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,27/07/2023,Nitrate,0.396,mg/L as N,10,mg/l,0.396,0,
USGS-375944121252301,SAN JOAQUIN R A WINDMILL COVE RD NR HOLT CA,37.99418056,-121.4143667,19/07/2023,Nitrate,1.33,mg/L as NO3,10,mg/l,0.300429185,0,
USGS-375944121252301,SAN JOAQUIN R A WINDMILL COVE RD NR HOLT CA,37.99418056,-121.4143667,19/07/2023,Nitrate,0.3,mg/L as N,10,mg/l,0.3,0,
USGS-11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174,19/07/2023,Nitrate,0.176,mg/L as NO3,10,mg/l,0.039756042,0,
USGS-11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174,19/07/2023,Nitrate,0.04,mg/L as N,10,mg/l,0.04,0,
USGS-11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028,05/04/2023,Nitrate,0.982,mg/L as NO3,10,mg/l,0.221820646,0,
USGS-11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028,05/04/2023,Nitrate,0.222,mg/L as N,10,mg/l,0.222,0,
USGS-380433121341501,SAN JOAQUIN R A WEBB TRACT NR TERMINOUS CA,38.0757,-121.5708889,12/06/2023,Nitrate,0.56,mg/L as NO3,10,mg/l,0.126496499,0,
USGS-380433121341501,SAN JOAQUIN R A WEBB TRACT NR TERMINOUS CA,38.0757,-121.5708889,12/06/2023,Nitrate,0.127,mg/L as N,10,mg/l,0.127,0,
USGS-380837121333401,N MOKELUMNE R A TYLER ISLAND RD NR ISELTON CA,38.14366944,-121.5595389,12/06/2023,Nitrate,0.145,mg/L as NO3,10,mg/l,0.032753558,0,
USGS-380837121333401,N MOKELUMNE R A TYLER ISLAND RD NR ISELTON CA,38.14366944,-121.5595389,12/06/2023,Nitrate,0.033,mg/L as N,10,mg/l,0.033,0,
USGS-11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,38.34916667,-121.6447222,27/04/2023,Nitrate,0.565,mg/L as NO3,10,mg/l,0.127625932,0,
USGS-11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,38.34916667,-121.6447222,27/04/2023,Nitrate,0.128,mg/L as N,10,mg/l,0.128,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,16/05/2023,Nitrate,0.303,mg/L as NO3,10,mg/l,0.068443641,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,16/05/2023,Nitrate,0.068,mg/L as N,10,mg/l,0.068,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,02/05/2023,Nitrate,0.718,mg/L as NO3,10,mg/l,0.162186582,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,02/05/2023,Nitrate,0.162,mg/L as N,10,mg/l,0.162,0,
USGS-11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278,13/06/2023,Nitrate,0.165,mg/L as NO3,10,mg/l,0.03727129,0,
USGS-11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278,13/06/2023,Nitrate,0.037,mg/L as N,10,mg/l,0.037,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,25/04/2023,Nitrate,0.67,mg/L as NO3,10,mg/l,0.151344025,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,25/04/2023,Nitrate,0.151,mg/L as N,10,mg/l,0.151,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,13/06/2023,Nitrate,0.245,mg/L as NO3,10,mg/l,0.055342218,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,13/06/2023,Nitrate,0.055,mg/L as N,10,mg/l,0.055,0,
USGS-375831121223701,SAN JOAQUIN R A BUCKLEY COVE NR STOCKTON CA,37.97527778,-121.3769444,17/05/2023,Nitrate,0.119,mg/L as N,10,mg/l,0.119,0,
USGS-11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,37.73131496,-119.5590514,15/05/2023,Nitrate,0.089,mg/L as NO3,10,mg/l,0.020103908,0,
USGS-375831121223701,SAN JOAQUIN R A BUCKLEY COVE NR STOCKTON CA,37.97527778,-121.3769444,17/05/2023,Nitrate,0.529,mg/L as NO3,10,mg/l,0.119494014,0,
USGS-11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,37.73131496,-119.5590514,15/05/2023,Nitrate,0.02,mg/L as N,10,mg/l,0.02,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,27/04/2023,Nitrate,2.23,mg/L as NO3,10,mg/l,0.503727129,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,27/04/2023,Nitrate,0.503,mg/L as N,10,mg/l,0.503,0,
USGS-11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111,06/04/2023,Nitrate,0.544,mg/L as NO3,10,mg/l,0.122882313,0,
USGS-11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111,06/04/2023,Nitrate,0.123,mg/L as N,10,mg/l,0.123,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,08/06/2023,Nitrate,0.426,mg/L as NO3,10,mg/l,0.096227694,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,08/06/2023,Nitrate,0.096,mg/L as N,10,mg/l,0.096,0,
USGS-11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028,13/06/2023,Nitrate,0.408,mg/L as NO3,10,mg/l,0.092161735,0,
USGS-11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028,13/06/2023,Nitrate,0.092,mg/L as N,10,mg/l,0.092,0,
USGS-375910121311201,MILDRED ISLAND SITE 1.5 NR ORWOOD CA,37.9861111,-121.52,12/06/2023,Nitrate,0.601,mg/L as NO3,10,mg/l,0.13575785,0,
USGS-375910121311201,MILDRED ISLAND SITE 1.5 NR ORWOOD CA,37.9861111,-121.52,12/06/2023,Nitrate,0.136,mg/L as N,10,mg/l,0.136,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,15/05/2023,Nitrate,0.313,mg/L as NO3,10,mg/l,0.070702507,0,
USGS-11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175,15/05/2023,Nitrate,0.071,mg/L as N,10,mg/l,0.071,0,
USGS-11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278,04/04/2023,Nitrate,0.356,mg/L as NO3,10,mg/l,0.080415631,0,
USGS-11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278,04/04/2023,Nitrate,0.08,mg/L as N,10,mg/l,0.08,0,
USGS-11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428,02/05/2023,Nitrate,0.478,mg/L as NO3,10,mg/l,0.107973797,0,
USGS-11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428,02/05/2023,Nitrate,0.108,mg/L as N,10,mg/l,0.108,0,
USGS-380831121301301,S MOKELUMNE R A SYCAMORE SLOUGH NR TERMINOUS CA,38.1419611,-121.5036889,15/05/2023,Nitrate,0.05,mg/L as NO3,10,mg/l,0.01129433,0,
USGS-380904121353601,GEORGIANA SLOUGH A OXBOW MARINA DRIVE NR ISLETON,38.1511111,-121.5933333,12/06/2023,Nitrate,0.585,mg/L as NO3,10,mg/l,0.132143664,0,
USGS-380904121353601,GEORGIANA SLOUGH A OXBOW MARINA DRIVE NR ISLETON,38.1511111,-121.5933333,12/06/2023,Nitrate,0.132,mg/L as N,10,mg/l,0.132,0,
USGS-11311300,TURNER CUT NR HOLT CA,37.9925,-121.4538889,17/05/2023,Nitrate,0.391,mg/L as NO3,10,mg/l,0.088321663,0,
USGS-11311300,TURNER CUT NR HOLT CA,37.9925,-121.4538889,17/05/2023,Nitrate,0.088,mg/L as N,10,mg/l,0.088,0,
USGS-375944121310401,MILDRED ISLAND SITE 1.1 NR ORWOOD CA,37.99555556,-121.5177778,12/06/2023,Nitrate,0.569,mg/L as NO3,10,mg/l,0.128529478,0,
USGS-375944121310401,MILDRED ISLAND SITE 1.1 NR ORWOOD CA,37.99555556,-121.5177778,12/06/2023,Nitrate,0.129,mg/L as N,10,mg/l,0.129,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,18/05/2023,Nitrate,3.41,mg/L as NO3,10,mg/l,0.770273323,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,18/05/2023,Nitrate,0.77,mg/L as N,10,mg/l,0.77,0,
USGS-11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,38.34166667,-121.6438889,07/06/2023,Nitrate,0.256,mg/L as NO3,10,mg/l,0.057826971,0,
USGS-11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,38.34166667,-121.6438889,07/06/2023,Nitrate,0.058,mg/L as N,10,mg/l,0.058,0,
USGS-11447540,SACRAMENTO R A PIER A WEST SACRAMENTO CA,38.56831667,-121.5205694,18/05/2023,Nitrate,0.608,mg/L as NO3,10,mg/l,0.137339056,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,22/06/2023,Nitrate,0.425,mg/L as NO3,10,mg/l,0.096001807,0,
USGS-11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286,22/06/2023,Nitrate,0.096,mg/L as N,10,mg/l,0.096,0,
USGS-380315121355301,FRANKS TRACT SITE 0.2 NR BETHEL ISLAND CA,38.05416667,-121.5980556,12/06/2023,Nitrate,0.259,mg/L as NO3,10,mg/l,0.058504631,0,
USGS-380315121355301,FRANKS TRACT SITE 0.2 NR BETHEL ISLAND CA,38.05416667,-121.5980556,12/06/2023,Nitrate,0.059,mg/L as N,10,mg/l,0.059,0,
